timestamps,TP9,AF7,AF8,TP10,Right AUX
1700209054.351,-70.312,-47.363,-21.973,-59.570,0.000
1700209054.355,-27.832,-55.176,-23.926,-33.203,0.000
1700209054.359,-16.113,-59.082,-24.414,-27.344,0.000
1700209054.363,-50.293,-55.176,-23.438,-43.457,0.000
1700209054.367,-64.453,-54.199,-22.949,-41.992,0.000
1700209054.371,-35.645,-55.176,-23.438,-30.762,0.000
1700209054.375,-8.301,-48.828,-20.996,-23.438,0.000
1700209054.379,-30.762,-52.246,-17.578,-38.574,0.000
1700209054.382,-62.012,-54.199,-19.531,-47.852,0.000
1700209054.386,-45.898,-47.852,-20.508,-40.039,0.000
1700209054.390,2.930,-47.363,-16.113,-23.438,0.000
1700209054.394,1.465,-52.734,-23.438,-19.531,0.000
1700209054.398,-39.551,-55.664,-23.438,-31.738,0.000
1700209054.402,-38.086,-62.500,-16.113,-26.855,0.000
1700209054.406,0.000,-60.547,-17.578,-11.230,0.000
1700209054.410,-4.395,-46.387,-23.926,-18.555,0.000
1700209054.414,-41.992,-47.852,-25.879,-31.738,0.000
1700209054.418,-53.223,-55.176,-20.020,-34.668,0.000
1700209054.422,-20.996,-53.711,-22.949,-22.949,0.000
1700209054.425,0.000,-50.781,-24.902,-16.602,0.000
1700209054.429,-26.367,-51.758,-18.555,-24.414,0.000
1700209054.433,-62.012,-48.340,-21.973,-39.551,0.000
1700209054.437,-36.133,-53.711,-24.902,-32.227,0.000
1700209054.441,2.930,-52.734,-22.461,-8.789,0.000
1700209054.445,-15.625,-45.898,-21.484,-14.648,0.000
1700209054.449,-53.223,-49.316,-19.531,-40.527,0.000
1700209054.453,-45.410,-49.316,-21.973,-39.551,0.000
1700209054.457,-9.277,-46.875,-25.391,-24.414,0.000
1700209054.461,-14.648,-49.805,-27.344,-27.344,0.000
1700209054.464,-48.828,-48.828,-25.391,-39.062,0.000
1700209054.468,-50.781,-54.688,-21.484,-40.527,0.000
1700209054.472,-13.184,-54.199,-22.461,-27.344,0.000
1700209054.476,-9.277,-52.246,-28.320,-35.156,0.000
1700209054.480,-40.527,-52.246,-26.855,-53.223,0.000
1700209054.484,-56.641,-49.316,-21.484,-55.664,0.000
1700209054.488,-24.414,-53.223,-22.949,-35.156,0.000
1700209054.492,-7.812,-49.316,-19.043,-20.996,0.000
1700209054.496,-30.762,-46.387,-20.996,-32.715,0.000
1700209054.500,-52.734,-46.387,-26.855,-48.340,0.000
1700209054.504,-34.668,-46.387,-27.832,-37.598,0.000
1700209054.507,-0.488,-42.969,-30.273,-25.879,0.000
1700209054.511,-17.090,-47.363,-29.785,-35.645,0.000
1700209054.515,-49.316,-55.176,-25.879,-36.133,0.000
1700209054.519,-40.039,-51.758,-22.949,-23.926,0.000
1700209054.523,-2.930,-43.945,-22.461,-13.184,0.000
1700209054.527,-4.395,-42.480,-23.926,-18.066,0.000
1700209054.531,-37.109,-48.340,-22.949,-29.785,0.000
1700209054.535,-46.387,-53.223,-20.996,-31.738,0.000
1700209054.539,-19.043,-45.898,-22.461,-20.996,0.000
1700209054.543,-10.742,-35.156,-22.461,-17.578,0.000
1700209054.546,-40.039,-42.480,-19.043,-27.344,0.000
1700209054.550,-62.988,-49.316,-20.508,-38.086,0.000
1700209054.554,-29.785,-37.598,-25.391,-29.785,0.000
1700209054.558,-3.418,-39.062,-28.809,-20.996,0.000
1700209054.562,-26.367,-46.875,-26.855,-31.250,0.000
1700209054.566,-51.270,-37.598,-21.484,-41.016,0.000
1700209054.570,-40.039,-36.133,-22.949,-37.109,0.000
1700209054.574,-8.789,-48.340,-24.902,-23.926,0.000
1700209054.578,-15.625,-47.363,-22.949,-33.691,0.000
1700209054.582,-56.152,-37.598,-22.949,-44.922,0.000
1700209054.586,-59.570,-39.551,-21.973,-38.574,0.000
1700209054.589,-21.484,-45.410,-19.531,-27.832,0.000
1700209054.593,-9.766,-49.316,-18.066,-18.555,0.000
1700209054.597,-41.992,-45.898,-25.391,-28.809,0.000
1700209054.601,-57.617,-31.250,-28.320,-42.969,0.000
1700209054.605,-7.812,-28.320,-20.508,-21.484,0.000
1700209054.609,7.812,-38.086,-20.508,-17.578,0.000
1700209054.613,-34.668,-41.016,-25.391,-34.668,0.000
1700209054.617,-59.082,-45.410,-27.344,-46.875,0.000
1700209054.621,-14.160,-51.758,-21.484,-21.484,0.000
1700209054.625,19.043,-41.992,-19.043,-0.488,0.000
1700209054.629,-28.809,-32.227,-22.461,-39.062,0.000
1700209054.632,-70.312,-40.039,-31.738,-62.012,0.000
1700209054.636,-39.551,-43.945,-33.691,-36.133,0.000
1700209054.640,-8.301,-43.457,-28.320,-20.996,0.000
1700209054.644,-22.461,-47.852,-30.273,-41.992,0.000
1700209054.648,-56.641,-36.621,-29.785,-61.035,0.000
1700209054.652,-65.430,-35.156,-34.180,-61.035,0.000
1700209054.656,-18.066,-41.016,-31.738,-23.438,0.000
1700209054.660,-4.883,-38.574,-24.902,-10.742,0.000
1700209054.664,-40.039,-40.527,-23.926,-32.227,0.000
1700209054.668,-59.082,-40.527,-25.391,-33.691,0.000
1700209054.671,-20.508,-41.504,-31.738,-12.207,0.000
1700209054.675,-2.930,-39.062,-33.691,-6.348,0.000
1700209054.679,-33.203,-37.109,-28.320,-28.320,0.000
1700209054.683,-56.152,-45.410,-25.391,-34.180,0.000
1700209054.687,-36.621,-45.410,-27.344,-20.508,0.000
1700209054.691,-12.695,-43.945,-29.785,-18.066,0.000
1700209054.695,-34.180,-46.387,-34.180,-31.738,0.000
1700209054.699,-72.266,-49.316,-32.715,-45.898,0.000
1700209054.703,-61.523,-56.152,-36.133,-43.457,0.000
1700209054.707,-16.113,-53.711,-38.086,-25.879,0.000
1700209054.711,-20.508,-43.457,-28.320,-26.855,0.000
1700209054.714,-61.035,-44.434,-31.250,-45.898,0.000
1700209054.718,-67.871,-44.922,-37.109,-49.805,0.000
1700209054.722,-22.461,-38.574,-30.273,-29.297,0.000
