timestamps,TP9,AF7,AF8,TP10,Right AUX
1700204424.687,-72.266,-19.531,-36.133,-93.262,0.000
1700204424.691,-90.332,-18.555,-25.879,-67.383,0.000
1700204424.695,20.996,-21.484,-25.391,34.180,0.000
1700204424.699,63.965,-23.438,-29.785,24.414,0.000
1700204424.703,-33.203,-23.926,-30.762,-59.570,0.000
1700204424.707,-115.723,-22.461,-29.785,-75.195,0.000
1700204424.711,-17.090,-24.414,-28.809,23.926,0.000
1700204424.714,56.152,-29.297,-27.344,42.969,0.000
1700204424.718,-7.324,-32.227,-32.227,-46.387,0.000
1700204424.722,-112.793,-29.785,-34.668,-90.332,0.000
1700204424.726,-56.641,-30.273,-30.762,-2.441,0.000
1700204424.730,49.316,-36.133,-29.297,60.059,0.000
1700204424.734,20.020,-32.715,-31.738,5.859,0.000
1700204424.738,-104.492,-28.809,-40.039,-80.566,0.000
1700204424.742,-90.820,-28.809,-37.109,-42.969,0.000
1700204424.746,33.691,-27.344,-29.297,49.805,0.000
1700204424.750,37.109,-30.762,-31.250,18.066,0.000
1700204424.754,-77.637,-31.738,-36.621,-82.520,0.000
1700204424.757,-118.652,-30.762,-38.086,-85.449,0.000
1700204424.761,-1.953,-33.691,-25.879,13.184,0.000
1700204424.765,49.316,-28.320,-29.297,10.742,0.000
1700204424.769,-33.691,-31.250,-34.180,-80.078,0.000
1700204424.773,-111.328,-30.273,-35.156,-102.051,0.000
1700204424.777,-22.461,-26.367,-32.715,7.812,0.000
1700204424.781,54.688,-31.250,-31.738,45.898,0.000
1700204424.785,-2.930,-29.785,-41.504,-35.156,0.000
1700204424.789,-115.234,-26.367,-39.551,-94.238,0.000
1700204424.793,-70.801,-23.438,-31.250,-12.207,0.000
1700204424.796,41.992,-19.531,-27.832,55.176,0.000
1700204424.800,24.902,-27.832,-35.645,-12.207,0.000
1700204424.804,-92.773,-32.715,-37.109,-105.957,0.000
1700204424.808,-98.145,-23.926,-27.344,-59.082,0.000
1700204424.812,20.020,-21.973,-31.250,43.457,0.000
1700204424.816,40.527,-31.738,-38.086,26.855,0.000
1700204424.820,-58.105,-34.668,-31.738,-59.082,0.000
1700204424.824,-107.422,-34.180,-24.414,-65.918,0.000
1700204424.828,-0.977,-31.738,-20.996,42.969,0.000
1700204424.832,59.570,-32.715,-20.020,53.223,0.000
1700204424.836,-24.414,-38.086,-25.391,-45.898,0.000
1700204424.839,-126.465,-38.574,-30.762,-90.820,0.000
1700204424.843,-49.805,-36.621,-33.203,9.766,0.000
1700204424.847,36.621,-36.621,-35.645,50.781,0.000
1700204424.851,-14.648,-37.598,-28.320,-31.738,0.000
1700204424.855,-113.770,-36.133,-21.484,-97.168,0.000
1700204424.859,-72.754,-28.809,-31.738,-25.391,0.000
1700204424.863,36.133,-31.250,-30.762,50.781,0.000
1700204424.867,30.273,-26.367,-24.414,1.953,0.000
1700204424.871,-84.473,-21.484,-24.414,-79.590,0.000
1700204424.875,-106.445,-22.949,-20.508,-46.875,0.000
1700204424.878,8.301,-27.832,-24.902,44.922,0.000
1700204424.882,34.668,-39.062,-24.902,17.090,0.000
1700204424.886,-69.824,-43.457,-24.414,-78.613,0.000
1700204424.890,-135.742,-42.480,-27.832,-83.008,0.000
1700204424.894,-28.809,-42.969,-27.832,20.020,0.000
1700204424.898,43.457,-36.621,-25.391,33.691,0.000
1700204424.902,-24.414,-29.785,-21.973,-51.270,0.000
1700204424.906,-120.605,-30.762,-30.762,-97.656,0.000
1700204424.910,-51.758,-29.785,-38.086,-11.719,0.000
1700204424.914,56.152,-28.809,-33.203,46.387,0.000
1700204424.918,28.809,-26.367,-30.762,-26.367,0.000
1700204424.921,-92.773,-22.461,-39.551,-108.887,0.000
1700204424.925,-81.055,-27.344,-38.086,-57.129,0.000
1700204424.929,37.109,-31.250,-31.250,20.996,0.000
1700204424.933,37.598,-27.832,-36.133,-19.531,0.000
1700204424.937,-81.055,-29.297,-36.133,-104.492,0.000
1700204424.941,-104.980,-31.250,-27.832,-82.031,0.000
1700204424.945,22.949,-29.785,-26.367,28.809,0.000
1700204424.949,68.359,-31.738,-27.344,23.926,0.000
1700204424.953,-25.391,-31.738,-35.156,-76.172,0.000
1700204424.957,-104.004,-26.855,-36.133,-97.168,0.000
1700204424.961,-16.113,-27.832,-28.320,-1.465,0.000
1700204424.964,59.082,-31.738,-27.832,15.137,0.000
1700204424.968,-9.766,-28.809,-30.273,-66.895,0.000
1700204424.972,-113.281,-27.832,-26.367,-125.488,0.000
1700204424.976,-47.363,-24.902,-20.020,-39.062,0.000
1700204424.980,57.617,-26.367,-24.414,25.391,0.000
1700204424.984,31.250,-33.691,-22.949,-35.156,0.000
1700204424.988,-87.891,-29.297,-24.902,-114.746,0.000
1700204424.992,-81.055,-32.227,-29.785,-72.754,0.000
1700204424.996,37.598,-35.645,-24.414,15.625,0.000
1700204425.000,50.781,-34.180,-25.879,-17.578,0.000
1700204425.003,-55.664,-24.902,-31.250,-108.887,0.000
1700204425.007,-104.004,-26.367,-25.879,-98.145,0.000
1700204425.011,8.301,-35.645,-21.484,6.348,0.000
1700204425.015,60.547,-27.344,-23.926,5.371,0.000
1700204425.019,-23.438,-26.855,-26.855,-80.078,0.000
1700204425.023,-112.793,-28.320,-29.785,-100.586,0.000
1700204425.027,-24.902,-24.414,-35.156,-6.836,0.000
1700204425.031,66.895,-22.949,-34.180,25.879,0.000
1700204425.035,2.441,-29.297,-30.762,-49.316,0.000
1700204425.039,-108.398,-36.133,-34.180,-108.398,0.000
1700204425.043,-62.500,-30.273,-28.809,-27.832,0.000
1700204425.046,46.875,-26.855,-23.438,43.945,0.000
1700204425.050,37.598,-27.832,-28.809,-10.742,0.000
1700204425.054,-81.055,-28.320,-30.762,-101.562,0.000
1700204425.058,-95.215,-33.691,-29.297,-65.918,0.000
1700204425.062,19.531,-39.062,-27.832,38.086,0.000
1700204425.066,41.992,-37.109,-34.180,10.742,0.000
1700204425.070,-56.641,-27.832,-44.434,-87.402,0.000
1700204425.074,-108.398,-32.227,-33.691,-86.914,0.000
1700204425.078,-9.277,-31.738,-25.879,20.996,0.000
1700204425.082,53.711,-30.273,-26.367,36.621,0.000
1700204425.085,-19.043,-35.645,-28.320,-56.641,0.000
1700204425.089,-122.070,-34.180,-29.297,-106.445,0.000
1700204425.093,-37.109,-24.414,-27.832,-4.395,0.000
1700204425.097,66.895,-20.020,-30.273,48.340,0.000
1700204425.101,17.090,-28.320,-32.715,-31.250,0.000
1700204425.105,-105.469,-25.391,-28.809,-105.957,0.000
1700204425.109,-74.707,-27.344,-22.461,-34.180,0.000
1700204425.113,44.922,-27.344,-20.508,49.316,0.000
1700204425.117,32.715,-26.367,-16.602,-2.930,0.000
1700204425.121,-82.031,-36.133,-15.625,-106.445,0.000
1700204425.125,-101.074,-39.062,-25.391,-94.727,0.000
1700204425.128,15.137,-33.691,-22.461,0.488,0.000
1700204425.132,39.062,-35.156,-21.484,-34.668,0.000
1700204425.136,-59.082,-36.621,-24.902,-123.047,0.000
1700204425.140,-119.629,-30.762,-27.344,-121.582,0.000
1700204425.144,-13.184,-28.320,-34.180,-5.859,0.000
1700204425.148,61.523,-34.180,-32.227,28.809,0.000
1700204425.152,-11.230,-30.762,-38.086,-57.617,0.000
1700204425.156,-126.953,-30.762,-40.527,-111.328,0.000
1700204425.160,-61.035,-29.297,-41.992,-22.461,0.000
1700204425.164,54.199,-24.414,-40.527,31.250,0.000
1700204425.167,20.996,-28.320,-35.156,-40.527,0.000
1700204425.171,-105.957,-32.227,-36.133,-107.910,0.000
1700204425.175,-95.215,-31.250,-35.645,-49.805,0.000
1700204425.179,25.391,-24.902,-25.879,36.133,0.000
1700204425.183,35.156,-28.809,-23.926,-5.859,0.000
1700204425.187,-80.566,-35.645,-30.762,-95.215,0.000
1700204425.191,-116.211,-30.273,-39.062,-61.035,0.000
1700204425.195,-4.883,-26.855,-39.062,42.480,0.000
1700204425.199,34.180,-25.879,-35.645,24.414,0.000
1700204425.203,-57.129,-25.391,-34.668,-70.801,0.000
1700204425.207,-131.348,-25.391,-33.691,-94.727,0.000
1700204425.210,-35.156,-27.832,-33.203,-2.930,0.000
1700204425.214,38.574,-28.809,-33.203,17.090,0.000
1700204425.218,-28.320,-32.715,-36.133,-63.477,0.000
1700204425.222,-133.789,-39.551,-32.715,-112.305,0.000
1700204425.226,-70.801,-34.180,-26.855,-31.250,0.000
1700204425.230,42.480,-30.762,-23.438,36.621,0.000
1700204425.234,23.438,-31.250,-34.668,-25.391,0.000
1700204425.238,-93.750,-28.809,-38.574,-114.258,0.000
1700204425.242,-87.402,-26.367,-27.832,-62.988,0.000
